ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,dt_s
1.527500,-0.292090,-8.734050,0.370712,0.172573,-0.753142,0.010000
1.905780,0.737410,-9.691730,0.274838,0.253533,-0.761664,0.010000
1.824380,0.158020,-9.346960,0.306796,0.248207,-0.782969,0.010000
1.896210,0.871490,-10.793060,0.185356,0.289752,-0.797883,0.010000
1.934510,-0.263360,-9.514560,0.271642,0.339819,-0.831972,0.010000
2.078170,0.196320,-9.370910,0.280165,0.300405,-0.836233,0.010000
1.800440,-0.019150,-9.773130,0.367516,0.193878,-0.912932,0.010000
1.211470,0.339980,-9.308660,0.312122,0.107592,-0.965130,0.010000
1.312020,0.014370,-9.165000,0.303600,0.067112,-1.019458,0.010000
1.570600,0.076610,-9.217680,0.180030,-0.073503,-1.002414,0.010000
1.383850,0.363920,-8.983040,0.226901,-0.111853,-0.981109,0.010000
1.532290,0.201110,-8.820240,0.297209,-0.055394,-0.909736,0.010000
1.043870,0.071830,-8.250420,0.346211,-0.086286,-0.885235,0.010000
1.719040,-0.296880,-9.399640,0.365386,0.029827,-0.918258,0.010000
1.790860,-0.258570,-9.481040,0.296144,0.095874,-0.908671,0.010000
1.561020,-0.325610,-9.217680,0.267381,0.086286,-0.957673,0.010000
0.842760,0.110130,-9.136270,0.217314,0.026632,-1.021589,0.010000
0.684740,0.387860,-8.844180,0.256729,0.002131,-1.136637,0.010000
1.230620,0.100560,-9.093180,0.337689,0.012783,-1.200553,0.010000
1.403000,-0.253790,-9.002200,0.347276,0.004261,-1.275122,0.010000
1.637630,-0.493210,-8.978260,0.392017,-0.030893,-1.359277,0.010000
1.901000,-0.296880,-9.294290,0.387756,0.022371,-1.385909,0.010000
1.541870,0.158020,-8.954310,0.397344,-0.005326,-1.349690,0.010000
1.455670,-0.100560,-8.892070,0.406931,-0.037284,-1.274056,0.010000
1.206680,0.330400,-9.327810,0.458064,-0.068177,-1.172856,0.010000
1.302450,0.311250,-9.203310,0.533697,-0.061785,-1.120658,0.010000
1.652000,0.090980,-9.452310,0.549676,0.010653,-1.128115,0.010000
1.561020,-0.028730,-9.452310,0.523045,0.104396,-1.155812,0.010000
1.005560,0.205900,-9.265560,0.445281,0.161920,-1.197357,0.010000
0.861910,0.038310,-9.021350,0.426106,0.200270,-1.247425,0.010000
1.024720,0.000000,-9.083600,0.328101,0.121440,-1.227185,0.010000
1.230620,0.028730,-9.246410,0.325971,0.085221,-1.172856,0.010000
1.168370,0.090980,-9.260770,0.367516,0.017044,-1.098288,0.010000
1.340750,0.263360,-9.538500,0.390952,-0.033023,-1.025850,0.010000
1.403000,0.105340,-9.519350,0.484695,-0.023436,-1.025850,0.010000
1.019930,0.052670,-9.342180,0.501740,0.007457,-1.053547,0.010000
1.034300,0.191540,-9.217680,0.445281,0.012783,-1.040763,0.010000
1.096540,0.215480,-9.279930,0.409062,0.058590,-1.033306,0.010000
1.417370,-0.191540,-9.270350,0.361125,0.110788,-1.037567,0.010000
0.995990,-0.181960,-9.121910,0.279099,0.134223,-1.105744,0.010000
1.326390,-0.090980,-9.074020,0.211988,0.109722,-1.153681,0.010000
1.565810,-0.023940,-9.370910,0.259925,0.176834,-1.170726,0.010000
1.321600,0.019150,-9.255980,0.281230,0.129962,-1.120658,0.010000
1.254560,0.335190,-9.155430,0.321710,0.076699,-1.053547,0.010000
1.254560,0.454900,-9.083600,0.414388,0.104396,-1.013067,0.010000
1.321600,0.114920,-9.351750,0.452737,0.140615,-0.967260,0.010000
0.972050,0.253790,-9.136270,0.411192,0.186421,-0.937433,0.010000
0.785300,0.186750,-9.069240,0.331297,0.183225,-0.943824,0.010000
0.952890,0.028730,-8.959100,0.254598,0.141680,-0.969391,0.010000
1.244980,-0.162810,-9.141060,0.198139,0.187487,-0.980043,0.010000
1.225830,-0.229840,-9.097970,0.184291,0.184291,-1.012001,0.010000
1.259350,-0.014370,-9.370910,0.231162,0.133158,-0.985370,0.010000
1.019930,0.263360,-9.308660,0.324906,0.089482,-0.956607,0.010000
0.948100,0.354340,-9.184160,0.377104,0.068177,-0.905475,0.010000
0.861910,0.229840,-9.050080,0.357929,0.003196,-0.860734,0.010000
0.852340,0.253790,-9.097970,0.356864,-0.002131,-0.850081,0.010000
0.866700,0.234630,-8.939950,0.352603,0.034088,-0.891626,0.010000
0.995990,0.043100,-9.150640,0.320645,0.056459,-0.923584,0.010000
0.991200,-0.014370,-9.040510,0.222640,0.040480,-0.913997,0.010000
1.144430,-0.268150,-9.227250,0.119310,-0.029827,-0.909736,0.010000
1.139640,-0.100560,-9.251190,0.108657,0.007457,-0.906540,0.010000
1.077390,-0.033520,-9.265560,0.147006,-0.003196,-0.902279,0.010000
1.043870,0.148440,-9.308660,0.204531,-0.021305,-0.866060,0.010000
1.115700,0.215480,-9.509770,0.257794,0.056459,-0.798948,0.010000
0.928950,0.105340,-9.193730,0.313188,0.147006,-0.787230,0.010000
0.948100,-0.019150,-9.198520,0.260990,0.133158,-0.769121,0.010000
0.823610,-0.009580,-9.078810,0.188552,0.086286,-0.762729,0.010000
0.986410,-0.143650,-9.318230,0.099070,0.068177,-0.754207,0.010000
0.928950,-0.105340,-9.346960,0.071373,0.085221,-0.762729,0.010000
0.833180,-0.110130,-9.433160,0.105461,0.080960,-0.756338,0.010000
0.837970,0.100560,-9.471460,0.223706,0.116114,-0.715858,0.010000
0.972050,-0.004790,-9.380480,0.337689,0.128897,-0.695618,0.010000
1.010350,-0.287300,-9.433160,0.378169,0.131028,-0.684965,0.010000
1.015140,-0.272940,-9.212890,0.368582,0.160855,-0.689226,0.010000
0.861910,-0.119710,-9.074020,0.361125,0.172573,-0.732902,0.010000
0.900220,-0.253790,-9.026140,0.301470,0.177899,-0.780839,0.010000
0.742200,-0.311250,-9.289500,0.206661,0.155529,-0.788296,0.010000
0.713470,-0.244210,-9.390060,0.124636,0.139550,-0.763795,0.010000
0.837970,-0.296880,-9.466670,0.158724,0.143811,-0.764860,0.010000
0.790090,-0.311250,-9.437940,0.221575,0.153398,-0.771251,0.010000
0.670380,-0.071830,-9.265560,0.270577,0.158724,-0.770186,0.010000
0.660800,-0.129290,-9.346960,0.267381,0.162985,-0.759534,0.010000
0.617700,-0.220270,-9.179370,0.257794,0.147006,-0.769121,0.010000
0.493210,-0.158020,-9.457100,0.234358,0.190682,-0.790426,0.010000
0.579400,-0.325610,-9.390060,0.193878,0.239684,-0.805340,0.010000
0.804450,-0.469260,-9.351750,0.121440,0.232228,-0.818123,0.010000
0.689530,-0.459690,-9.260770,0.115049,0.235423,-0.849016,0.010000
0.632070,-0.282520,-9.437940,0.073503,0.198139,-0.837298,0.010000
0.536300,-0.100560,-9.318230,0.089482,0.193878,-0.840494,0.010000
0.469260,-0.215480,-9.212890,0.123571,0.116114,-0.824515,0.010000
0.225050,0.057460,-9.471460,0.145941,0.101200,-0.802144,0.010000
0.220270,0.272940,-9.538500,0.153398,0.170442,-0.758468,0.010000
0.363920,-0.014370,-9.361330,0.162985,0.234358,-0.720119,0.010000
0.320820,-0.359130,-9.390060,0.187487,0.275903,-0.741424,0.010000
